	i	date	count	countnew
0	0	2000-01-01	1.0	1.0
1	1	2000-01-02	1.0	1.0
2	2	2000-01-03	0.95	0.583333333333
3	3	2000-01-04	1.0	1.0
4	4	2000-01-05	1.0	1.0
5	5	2000-01-06	1.0	1.0
6	6	2000-01-07	1.0	1.0
7	7	2000-01-08	1.0	1.0
8	8	2000-01-09	1.0	1.0
9	9	2000-01-10	1.0	1.0
10	10	2000-01-11	1.0	1.0
11	11	2000-01-12	1.0	1.0
12	12	2000-01-13	1.0	1.0
13	13	2000-01-14	1.0	1.0
14	14	2000-01-15	1.0	1.0
15	15	2000-01-16	0.95	0.583333333333
16	16	2000-01-17	1.0	1.0
17	17	2000-01-18	1.0	1.0
18	18	2000-01-19	1.0	1.0
19	19	2000-01-20	1.0	1.0
20	20	2000-01-21	1.0	1.0
21	21	2000-01-22	1.0	1.0
22	22	2000-01-23	0.96	0.666666666667
23	23	2000-01-24	0.93	0.416666666667
24	24	2000-01-25	1.0	1.0
25	25	2000-01-26	1.0	1.0
26	26	2000-01-27	1.0	1.0
27	27	2000-01-28	1.0	1.0
28	28	2000-01-29	1.0	1.0
29	29	2000-01-30	1.0	1.0
30	30	2000-01-31	1.0	1.0
31	31	2000-02-01	0.97	0.75
32	32	2000-02-02	1.0	1.0
33	33	2000-02-03	0.96	0.666666666667
34	34	2000-02-04	0.94	0.5
35	35	2000-02-05	0.95	0.583333333333
36	36	2000-02-06	0.95	0.583333333333
37	37	2000-02-07	0.95	0.583333333333
38	38	2000-02-08	0.95	0.583333333333
39	39	2000-02-09	1.0	1.0
40	40	2000-02-10	0.95	0.583333333333
41	41	2000-02-11	1.0	1.0
42	42	2000-02-12	0.94	0.5
43	43	2000-02-13	0.92	0.333333333333
44	44	2000-02-14	0.93	0.416666666667
45	45	2000-02-15	1.0	1.0
46	46	2000-02-16	1.0	1.0
47	47	2000-02-17	0.92	0.333333333333
48	48	2000-02-18	1.0	1.0
49	49	2000-02-19	1.0	1.0
50	50	2000-02-20	0.95	0.583333333333
51	51	2000-02-21	0.93	0.416666666667
52	52	2000-02-22	1.0	1.0
53	53	2000-02-23	1.0	1.0
54	54	2000-02-24	1.0	1.0
55	55	2000-02-25	1.0	1.0
56	56	2000-02-26	1.0	1.0
57	57	2000-02-27	1.0	1.0
58	58	2000-02-28	0.94	0.5
59	59	2000-02-29	0.92	0.333333333333
60	60	2000-03-01	0.92	0.333333333333
61	61	2000-03-02	0.92	0.333333333333
62	62	2000-03-03	1.0	1.0
63	63	2000-03-04	1.0	1.0
64	64	2000-03-05	1.0	1.0
65	65	2000-03-06	1.0	1.0
66	66	2000-03-07	1.0	1.0
67	67	2000-03-08	0.96	0.666666666667
68	68	2000-03-09	0.95	0.583333333333
69	69	2000-03-10	1.0	1.0
70	70	2000-03-11	1.0	1.0
71	71	2000-03-12	1.0	1.0
72	72	2000-03-13	1.0	1.0
73	73	2000-03-14	1.0	1.0
74	74	2000-03-15	1.0	1.0
75	75	2000-03-16	0.96	0.666666666667
76	76	2000-03-17	1.0	1.0
77	77	2000-03-18	1.0	1.0
78	78	2000-03-19	0.94	0.5
79	79	2000-03-20	0.95	0.583333333333
80	80	2000-03-21	1.0	1.0
81	81	2000-03-22	0.96	0.666666666667
82	82	2000-03-23	0.94	0.5
83	83	2000-03-24	0.94	0.5
84	84	2000-03-25	0.93	0.416666666667
85	85	2000-03-26	0.94	0.5
86	86	2000-03-27	0.92	0.333333333333
87	87	2000-03-28	0.97	0.75
88	88	2000-03-29	1.0	1.0
89	89	2000-03-30	1.0	1.0
